130,https://www.gasbuddy.com/Station/130,Marathon,5201 W 111th St Alsip  IL ,(708) 422-7403,$2.96,$2.99,$3.19,$3.22,$3.59,$3.62,$2.99,$2.99
131,https://www.gasbuddy.com/Station/131,Shell,5600 159th St Oak Forest  IL ,708-444-2983,$2.57,$2.87,$3.47,NA
132,https://www.gasbuddy.com/Station/132,CITGO,15229 S Cicero Ave Oak Forest  IL ,,- - -,- - -,- - -,NA
133,https://www.gasbuddy.com/Station/133,CITGO,5347 W 159th St Oak Forest  IL ,(708) 687-7575,$2.69,- - -,- - -,- - -,- - -,- - -,- - -,- - -
134,https://www.gasbuddy.com/Station/134,Marathon,15100 S Cicero Ave Oak Forest  IL ,708-631-3985,- - -,- - -,- - -,NA
135,https://www.gasbuddy.com/Station/135,Speedway,8759 W 95th St Hickory Hills  IL ,(708) 599-4242,$2.99,$3.29,$3.69,$2.79
136,https://www.gasbuddy.com/Station/136,Shell,2635 W 87th St Evergreen Park  IL ,708-425-2459,$2.99,$3.29,$3.89,NA
137,https://www.gasbuddy.com/Station/137,BP,10259 S Cicero Ave Oak Lawn  IL ,(708) 952-9300,$2.89,$3.39,- - -,NA
138,https://www.gasbuddy.com/Station/138,7-Eleven,7700 W 95th St Hickory Hills  IL ,708-430-0018,$2.75,$3.34,$3.69,NA
139,https://www.gasbuddy.com/Station/139,CITGO,8801 W 79th St Justice  IL ,708-924-1741,$2.69,$3.27,$3.37,$2.79
140,https://www.gasbuddy.com/Station/140,Thorntons,2310 York Rd Elk Grove  IL ,,$2.89,$2.83,$3.23,$2.68,- - -
141,https://www.gasbuddy.com/Station/141,Speedway,22310 S Lagrange Rd Frankfort  IL ,815-469-0194,$2.89,$2.85,$3.35,$2.79
142,https://www.gasbuddy.com/Station/142,Mobil,1600 Nerge Rd Elk Grove  IL ,847-895-0446,$2.99,$3.34,$3.74,$2.99
143,https://www.gasbuddy.com/Station/143,Marathon,1195 S Rohlwing Rd Elk Grove  IL ,(847) 301-0058,NA,NA,NA,NA
144,https://www.gasbuddy.com/Station/144,Mobil,8 E Higgins Rd Elk Grove  IL ,(847) 806-6665,$2.89,- - -,- - -,NA
145,https://www.gasbuddy.com/Station/145,Shell,1 E Higgins Rd Elk Grove  IL ,(847) 640-1556,$2.89,- - -,$3.74,NA
146,https://www.gasbuddy.com/Station/146,Shell,631 Roosevelt Rd Glen Ellyn  IL ,630-942-0288,$2.89,$3.19,$3.79,NA
147,https://www.gasbuddy.com/Station/147,BP,444 W 22nd St Lombard  IL ,,$2.89,$3.29,$3.79,NA
148,https://www.gasbuddy.com/Station/148,Thorntons,250 E Roosevelt Rd Villa Park  IL ,630-834-0093,$2.89,$2.83,$3.25,$2.68,$2.53
149,https://www.gasbuddy.com/Station/149,Shell,7900 S Cicero Ave Burbank  IL ,(708) 423-1416,$2.99,- - -,- - -,NA
151,https://www.gasbuddy.com/Station/151,Speedway,5550 W 79th St Burbank  IL ,(708) 499-4468,$2.99,$3.29,$3.69,$2.89
153,https://www.gasbuddy.com/Station/153,Exxon,17W619 Roosevelt Rd Oakbrook Terrace  IL ,630-620-3155,$2.89,$2.95,$3.23,$2.69
154,https://www.gasbuddy.com/Station/154,Shell,2210 W 22nd St Oak Brook  IL ,630-990-8776,$2.89,$2.81,$3.41,$2.67
155,https://www.gasbuddy.com/Station/155,Fas Mart,1188 W Foster Ave Bensenville  IL ,630-766-6095,$2.85,$2.81,$3.59,$2.64
156,https://www.gasbuddy.com/Station/156,BP,550 N IL-83 Bensenville  IL ,630-766-2790,$2.85,$2.89,$2.84,$2.88,$3.29,$3.33,$2.68,$2.68,$2.72,$2.76
157,https://www.gasbuddy.com/Station/157,Shell,600 N IL-83 Bensenville  IL ,630-350-2400,$2.85,$2.89,$2.89,$2.93,$3.29,$3.33,$2.68,$2.68
158,https://www.gasbuddy.com/Station/158,BP,600 W Irving Park Rd Bensenville  IL ,630-422-1674,$2.66,$2.69,$3.05,$3.09,$3.45,$3.49,$2.63,$2.67
159,https://www.gasbuddy.com/Station/159,Exxon,1156 S York Rd Bensenville  IL ,630-860-7892,$2.59,$3.01,$3.36,$2.79
161,https://www.gasbuddy.com/Station/161,CITGO,1225 E Devon Ave Bensenville  IL ,(630) 595-3386,$2.89,$3.03,$3.54,$2.69
166,https://www.gasbuddy.com/Station/166,Mobil,4243 Baldwin Rd Auburn Hills  MI ,(248) 858-8544,$2.99,$3.09,$3.29,$3.39,$3.59,$3.69
167,https://www.gasbuddy.com/Station/167,Mobil,810 N Opdyke Rd Auburn Hills  MI ,248-373-4748,$2.74,- - -,- - -,- - -,- - -,- - -,$2.99,$2.99
168,https://www.gasbuddy.com/Station/168,Meijer,800 Brown Rd Auburn Hills  MI ,248-393-5129,$2.63,$2.93,$3.23,$2.79
169,https://www.gasbuddy.com/Station/169,Circle K,2105 Hampton Ave St Louis  MO ,314-645-6172,$2.49,$2.79,$3.19,NA
170,https://www.gasbuddy.com/Station/170,Mobil,2999 CR-K O'Fallon  MO ,,$2.45,$2.65,$2.85,$2.68
171,https://www.gasbuddy.com/Station/171,Speedway,8231 Columbia Rd Olmsted Falls  OH ,(440) 235-6410,$2.59,$2.89,$3.19,$2.85
172,https://www.gasbuddy.com/Station/172,Speedway,2202 Broadview Rd Cleveland  OH ,(216)398-8159,$2.45,$2.75,$3.05,$2.99
173,https://www.gasbuddy.com/Station/173,Marathon,922 N Delaware St Indianapolis  IN ,(317) 634-6851,$2.49,$2.79,$3.09,NA
174,https://www.gasbuddy.com/Station/174,Marathon,747 Leonard St NW Grand Rapids  MI ,616-458-6411,$2.59,$2.85,$3.15,$2.69
175,https://www.gasbuddy.com/Station/175,Admiral,805 S Mitchell St Cadillac  MI ,231-775-0791,$2.58,$2.88,$3.23,$2.88
176,https://www.gasbuddy.com/Station/176,Shell,1965 Fuller Ave NE Grand Rapids  MI ,616-364-6003,$2.65,$2.99,$3.39,NA
177,https://www.gasbuddy.com/Station/177,Speedway,1605 N Shadeland Ave Indianapolis  IN ,(317)357-4933,$2.59,$2.89,$3.19,$2.99
178,https://www.gasbuddy.com/Station/178,Sunoco,2555 Monroe Ave Brighton  NY ,(585) 271-7216,$2.73,$3.00,- - -,NA
179,https://www.gasbuddy.com/Station/179,Shell,23385 Lorain Rd North Olmsted  OH ,440-779-9119,$2.39,$3.24,$3.28,NA
180,https://www.gasbuddy.com/Station/180,Mobil,24662 Lorain Rd North Olmsted  OH ,440-641-1412,$2.28,$2.95,$3.12,NA
181,https://www.gasbuddy.com/Station/181,Speedway,6198 Allisonville Rd Indianapolis  IN ,(317)251-2025,$2.59,$2.89,$3.13,$2.97
182,https://www.gasbuddy.com/Station/182,Speedway,1005 N Mitthoeffer Rd Indianapolis  IN ,(317)898-8897,$2.59,$2.89,$3.19,$2.85
183,https://www.gasbuddy.com/Station/183,Speedway,1340 W 86th St Indianapolis  IN ,(317)843-2274,$2.59,$2.89,$3.19,$2.78
184,https://www.gasbuddy.com/Station/184,Flynn's,307 Hartford Tpke Shrewsbury  MA ,508-753-9698,$2.45,$2.69,$2.89,$2.99
185,https://www.gasbuddy.com/Station/185,Sheetz,100 E Main St Monongahela  PA ,(724) 258-6386,$2.79,$3.09,$3.39,$3.39
186,https://www.gasbuddy.com/Station/186,Love's,400 NW Frontage Rd Troutdale  OR ,(503) 665-7741,$3.09,$3.09,$3.39,$3.39,$3.69,$3.69,$2.84,$2.89
187,https://www.gasbuddy.com/Station/187,Marathon,7200 Sawmill Rd Columbus  OH ,614-734-0836,$2.75,$3.05,$3.40,$2.89
188,https://www.gasbuddy.com/Station/188,Marathon,215 W Bridge St Dublin  OH ,614-889-2182,$2.79,$3.09,$3.39,NA
189,https://www.gasbuddy.com/Station/189,BP,9760 Sawmill Pkwy Powell  OH ,614-792-1565,$2.35,$2.65,$2.95,NA
190,https://www.gasbuddy.com/Station/190,BP,7310 Sawmill Rd Columbus  OH ,614-889-9392,$2.75,$3.05,$3.35,NA
